date,close
1997-11-01,383.3
1997-12-01,370.8
1998-01-01,388.1
1998-04-01,400.4
1998-05-01,368.2
1998-06-01,361.6
1998-07-01,377.6
1998-08-01,359.5
1998-09-01,353.4
1998-10-01,336.4
1998-12-01,364.5
1999-01-01,346.9
1999-02-01,381.7
1999-03-01,359.1
1999-04-01,354.5
1999-05-01,365.4
1999-06-01,351.0
1999-07-01,344.0
1999-09-01,388.9
1999-10-01,401.2
1999-11-01,418.8
1999-12-01,430.2
2000-01-01,455.0
2000-02-01,471.7
2000-03-01,496.4
2000-04-01,500.0
2000-05-01,539.4
2000-06-01,565.5
2000-07-01,580.0
2000-08-01,586.7
2000-09-01,578.8
2000-11-01,605.9
2000-12-01,609.6
2001-01-01,601.1
2001-02-01,610.0
2001-03-01,555.0
2001-05-01,603.1
2001-06-01,560.1
2001-08-01,443.0
2001-09-01,433.3
2001-10-01,412.5
2001-11-01,449.3
2001-12-01,493.0
2002-01-01,465.2
2002-03-01,515.7
2002-04-01,532.5
2002-05-01,545.9
2002-06-01,537.3
2002-07-01,524.6
2002-08-01,565.8
2002-10-01,571.8
2002-11-01,581.9
2003-01-01,658.9
2003-02-01,672.5
2003-03-01,648.4
2003-04-01,599.3
2003-05-01,636.8
2003-07-01,685.7
2003-08-01,708.6
2003-09-01,706.9
2003-10-01,754.9
2003-12-01,811.3
2004-01-01,830.3
2004-03-01,908.7
2004-04-01,863.5
2004-07-01,817.9
2004-09-01,861.0
2004-10-01,833.0
2004-11-01,872.3
2004-12-01,863.7
2005-01-01,873.8
2005-02-01,866.0
2005-03-01,870.6
2005-04-01,868.6
2005-06-01,883.5
2005-07-01,897.9
2005-08-01,894.5
2005-09-01,930.3
2005-10-01,942.4
2005-11-01,952.5
2005-12-01,973.0
2006-03-01,1059.4
2006-04-01,1163.3
2006-05-01,1246.8
2006-06-01,1246.7
2006-07-01,1242.0
2006-09-01,1141.2
2006-11-01,1150.6
2006-12-01,1139.3
2007-01-01,1180.7
2007-02-01,1193.0
2007-03-01,1248.3
2007-06-01,1279.0
2007-08-01,1271.6
2007-09-01,1395.2
2007-10-01,1468.0
2007-12-01,1528.4
2008-01-01,1736.9
2008-02-01,2155.7
2008-03-01,2024.4
2008-04-01,1970.6
2008-07-01,1750.3
2008-09-01,1015.1
2008-10-01,811.1
2008-12-01,936.2
2009-01-01,960.0
2009-04-01,1096.1
2009-06-01,1176.7
2009-07-01,1167.6
2009-09-01,1295.6
2009-10-01,1297.4
2009-12-01,1460.0
2010-01-01,1501.3
2010-02-01,1538.0
2010-03-01,1639.8
2010-04-01,1745.1
2010-05-01,1547.4
2010-06-01,1530.9
2010-07-01,1576.8
2010-09-01,1652.0
2010-10-01,1705.1
2010-11-01,1650.4
2010-12-01,1773.3
2011-01-01,1797.5
2011-02-01,1809.2
2011-03-01,1779.3
2011-04-01,1871.5
2011-06-01,1724.8
2011-07-01,1785.3
2011-08-01,1856.2
2011-09-01,1519.4
2011-10-01,1597.6
2011-11-01,1559.8
2011-12-01,1399.7
2012-02-01,1691.1
2012-03-01,1638.3
2012-05-01,1416.1
2012-06-01,1449.1
2012-08-01,1536.3
2012-09-01,1665.3
2012-10-01,1576.0
2012-11-01,1603.1
2012-12-01,1538.7
2013-01-01,1673.9
2013-02-01,1582.4
2013-03-01,1571.2
2013-04-01,1505.4
2013-05-01,1460.6
2013-06-01,1336.9
2013-07-01,1428.4
2013-08-01,1526.2
2013-10-01,1445.9
2013-11-01,1367.9
2014-01-01,1374.1
2014-02-01,1446.2
2014-03-01,1418.5
2014-04-01,1426.6
2014-05-01,1454.7
2014-07-01,1465.7
2014-08-01,1426.7
2014-09-01,1298.5
2014-10-01,1236.2
2014-11-01,1210.4
2014-12-01,1208.9
2015-01-01,1239.2
2015-04-01,1139.9
2015-05-01,1111.0
2015-06-01,1078.6
2015-07-01,984.0
2015-08-01,1010.1
2015-09-01,907.2
2015-10-01,988.6
2015-12-01,891.7
2016-01-01,872.3
2016-02-01,933.7
2016-03-01,976.6
2016-04-01,1077.9
2016-06-01,1021.5
2016-06-27,978.8
2016-06-28,978.5
2016-06-29,1011.3
2016-06-30,1021.5
2016-07-01,1054.7
2016-07-05,1072.4
2016-07-06,1086.9
2016-07-07,1091.1
2016-07-08,1097.0
2016-07-11,1104.7
2016-07-12,1094.4
2016-07-13,1096.7
2016-07-14,1100.9
2016-07-15,1090.5
2016-07-18,1098.5
2016-07-19,1094.7
2016-07-20,1087.6
2016-07-21,1105.2
2016-07-22,1085.6
2016-07-25,1085.0
2016-07-26,1096.4
2016-07-27,1125.0
2016-07-28,1135.6
2016-07-29,1147.3
2016-08-01,1160.0
2016-08-02,1168.8
2016-08-03,1166.9
2016-08-04,1161.9
2016-08-05,1148.0
2016-08-08,1152.0
2016-08-09,1156.5
2016-08-10,1180.6
2016-08-11,1154.2
2016-08-12,1126.8
2016-08-15,1113.8
2016-08-16,1121.8
2016-08-17,1112.5
2016-08-18,1131.0
2016-08-19,1116.2
2016-08-22,1106.5
2016-08-23,1108.8
2016-08-24,1079.7
2016-08-25,1074.5
2016-08-26,1075.2
2016-08-29,1078.3
2016-08-30,1053.8
2016-08-31,1050.8
2016-09-01,1046.2
2016-09-02,1059.5
2016-09-06,1100.0
2016-09-07,1091.2
2016-09-08,1083.1
2016-09-09,1065.9
2016-09-12,1041.3
2016-09-13,1034.4
2016-09-14,1039.3
2016-09-15,1032.2
2016-09-16,1016.0
2016-09-19,1022.1
2016-09-20,1030.5
2016-09-21,1047.5
2016-09-22,1062.4
2016-09-23,1056.6
2016-09-26,1042.5
2016-09-27,1024.8
2016-09-28,1021.9
2016-09-29,1030.8
2016-09-30,1028.6
2016-10-01,975.8
2016-10-03,1003.7
2016-10-04,984.7
2016-10-05,972.3
2016-10-06,962.3
2016-10-07,958.8
2016-10-11,945.8
2016-10-12,938.4
2016-10-13,928.9
2016-10-14,935.9
2016-10-17,932.7
2016-10-18,943.0
2016-10-19,940.1
2016-10-20,931.2
2016-10-21,928.6
2016-10-24,935.4
2016-10-25,961.9
2016-10-26,960.5
2016-10-27,961.7
2016-10-28,978.2
2016-10-31,975.8
2016-11-01,995.1
2016-11-02,998.2
2016-11-03,991.6
2016-11-04,1001.7
2016-11-07,998.6
2016-11-08,1005.8
2016-11-09,1000.5
2016-11-10,979.5
2016-11-14,931.7
2016-11-15,932.8
2016-11-16,944.5
2016-11-17,942.6
2016-11-18,919.5
2016-11-21,933.7
2016-11-22,941.4
2016-11-23,929.6
2016-11-25,906.8
2016-11-28,921.3
2016-11-29,918.9
2016-11-30,908.1
2016-12-01,909.6
2016-12-02,931.0
2016-12-05,937.0
2016-12-06,934.1
2016-12-07,941.7
2016-12-08,942.4
2016-12-09,913.7
2016-12-12,932.5
2016-12-13,935.5
2016-12-14,939.6
2016-12-15,892.4
2016-12-16,933.0
2016-12-19,916.2
2016-12-20,922.9
2016-12-21,913.3
2016-12-22,906.4
2016-12-23,892.4
2016-12-27,903.3
2016-12-28,898.8
2016-12-29,897.8
2016-12-30,901.6
2017-01-03,939.3
2017-01-04,943.3
2017-01-05,972.1
2017-01-06,966.5
2017-01-09,978.5
2017-01-10,978.4
2017-01-11,972.2
2017-01-12,980.9
2017-01-13,982.4
2017-01-17,979.1
