date,close
1960-01-01,83.5
1960-02-01,83.5
1960-03-01,83.5
1960-04-01,83.5
1960-05-01,83.5
1960-06-01,83.5
1960-07-01,83.5
1960-08-01,83.5
1960-09-01,83.5
1960-10-01,83.5
1960-11-01,83.5
1960-12-01,83.5
1961-01-01,83.5
1961-02-01,83.5
1961-03-01,83.5
1961-04-01,83.5
1961-05-01,83.5
1961-06-01,83.5
1961-07-01,83.5
1961-08-01,83.5
1961-09-01,83.5
1961-10-01,83.5
1961-11-01,83.5
1961-12-01,83.5
1962-01-01,83.5
1962-02-01,83.5
1962-03-01,83.5
1962-04-01,83.5
1962-05-01,83.5
1962-06-01,83.5
1962-07-01,83.5
1962-08-01,83.5
1962-09-01,83.5
1962-10-01,83.5
1962-11-01,83.5
1962-12-01,83.5
1963-01-01,83.5
1963-02-01,83.5
1963-03-01,83.5
1963-04-01,78.5
1963-05-01,78.5
1963-06-01,78.5
1963-07-01,78.5
1963-08-01,78.95
1963-09-01,80.75
1963-10-01,80.5
1963-11-01,82.97
1963-12-01,83.5
1964-01-01,88.27
1964-02-01,88.5
1964-03-01,88.5
1964-04-01,88.5
1964-05-01,88.5
1964-06-01,88.5
1964-07-01,88.5
1964-08-01,88.5
1964-09-01,88.5
1964-10-01,88.5
1964-11-01,88.5
1964-12-01,88.5
1965-01-01,93.0
1965-02-01,98.5
1965-03-01,98.5
1965-04-01,98.5
1965-05-01,98.5
1965-06-01,98.5
1965-07-01,98.5
1965-08-01,98.5
1965-09-01,98.5
1965-10-01,98.5
1965-11-01,98.5
1965-12-01,98.5
1966-01-01,98.5
1966-02-01,98.5
1966-03-01,99.65
1966-04-01,100.0
1966-05-01,100.0
1966-06-01,100.0
1966-07-01,100.0
1966-08-01,100.0
1966-09-01,100.0
1966-10-01,100.0
1966-11-01,100.0
1966-12-01,100.0
1967-01-01,102.93
1967-02-01,110.5
1967-03-01,110.5
1967-04-01,110.5
1967-05-01,110.5
1967-06-01,110.5
1967-07-01,110.5
1967-08-01,110.5
1967-09-01,110.5
