date,close
1960-01-01,0.91
1960-02-01,0.91
1960-03-01,0.91
1960-04-01,0.91
1960-05-01,0.91
1960-06-01,0.91
1960-07-01,0.91
1960-08-01,0.91
1960-09-01,0.91
1960-10-01,0.91
1960-11-01,0.91
1960-12-01,0.91
1961-01-01,0.91
1961-02-01,0.91
1961-03-01,0.91
1961-04-01,0.91
1961-05-01,0.91
1961-06-01,0.91
1961-07-01,0.91
1961-08-01,0.91
1961-09-01,0.91
1961-10-01,0.91
1961-11-01,0.92
1961-12-01,1.03
1962-01-01,1.04
1962-02-01,1.02
1962-03-01,1.01
1962-04-01,1.01
1962-05-01,1.01
1962-06-01,1.02
1962-07-01,1.04
1962-08-01,1.08
1962-09-01,1.15
1962-10-01,1.21
1962-11-01,1.19
1962-12-01,1.2
1963-01-01,1.24
1963-02-01,1.26
1963-03-01,1.27
1963-04-01,1.27
1963-05-01,1.28
1963-06-01,1.28
1963-07-01,1.29
1963-08-01,1.29
1963-09-01,1.29
1963-10-01,1.29
1963-11-01,1.29
1963-12-01,1.29
1964-01-01,1.29
1964-02-01,1.29
1964-03-01,1.29
1964-04-01,1.29
1964-05-01,1.29
1964-06-01,1.29
1964-07-01,1.29
1964-08-01,1.29
1964-09-01,1.29
1964-10-01,1.29
1964-11-01,1.29
1964-12-01,1.29
1965-01-01,1.29
1965-02-01,1.29
1965-03-01,1.29
1965-04-01,1.29
1965-05-01,1.29
1965-06-01,1.29
1965-07-01,1.29
1965-08-01,1.29
1965-09-01,1.29
1965-10-01,1.29
1965-11-01,1.29
1965-12-01,1.29
1966-01-01,1.29
1966-02-01,1.29
1966-03-01,1.29
1966-04-01,1.29
1966-05-01,1.29
1966-06-01,1.29
1966-07-01,1.29
1966-08-01,1.29
1966-09-01,1.29
1966-10-01,1.29
1966-11-01,1.29
1966-12-01,1.29
1967-01-01,1.29
1967-02-01,1.29
1967-03-01,1.29
1967-04-01,1.29
1967-05-01,1.3
1967-06-01,1.3
1967-07-01,1.59
1967-08-01,1.75
1967-09-01,1.68
1967-10-01,1.79
1967-11-01,1.95
1967-12-01,2.06
1968-01-01,1.99
1968-02-01,1.85
1968-03-01,2.18
1968-04-01,2.2
1968-05-01,2.38
1968-06-01,2.46
1968-07-01,2.31
1968-08-01,2.19
1968-09-01,2.21
1968-10-01,1.97
1968-11-01,2.02
1968-12-01,1.96
1969-01-01,1.98
1969-02-01,1.84
1969-03-01,1.83
1969-04-01,1.78
1969-05-01,1.76
1969-06-01,1.65
1969-07-01,1.62
1969-08-01,1.65
1969-09-01,1.79
1969-10-01,1.87
1969-11-01,1.92
1969-12-01,1.81
1970-01-01,1.88
1970-02-01,1.9
1970-03-01,1.89
1970-04-01,1.85
1970-05-01,1.67
1970-06-01,1.64
1970-07-01,1.69
1970-08-01,1.8
1970-09-01,1.8
1970-10-01,1.75
1970-11-01,1.76
1970-12-01,1.63
1971-01-01,1.64
1971-02-01,1.6
1971-03-01,1.67
1971-04-01,1.73
1971-05-01,1.67
1971-06-01,1.61
1971-07-01,1.58
1971-08-01,1.59
1971-09-01,1.42
1971-10-01,1.34
1971-11-01,1.32
1971-12-01,1.39
1972-01-01,1.47
1972-02-01,1.5
1972-03-01,1.54
1972-04-01,1.57
1972-05-01,1.58
1972-06-01,1.57
1972-07-01,1.74
1972-08-01,1.85
1972-09-01,1.78
1972-10-01,1.81
1972-11-01,1.83
1972-12-01,1.98
1973-01-01,2.02
1973-02-01,2.24
1973-03-01,2.31
1973-04-01,2.21
1973-05-01,2.4
1973-06-01,2.62
1973-07-01,2.71
1973-08-01,2.64
1973-09-01,2.68
1973-10-01,2.89
1973-11-01,2.86
1973-12-01,3.14
1974-01-01,3.64
1974-02-01,5.36
1974-03-01,5.33
1974-04-01,5.04
1974-05-01,5.43
1974-06-01,4.9
1974-07-01,4.42
1974-08-01,4.43
1974-09-01,4.05
1974-10-01,4.83
1974-11-01,4.69
1974-12-01,4.39
1975-01-01,4.19
1975-02-01,4.37
1975-03-01,4.33
1975-04-01,4.21
1975-05-01,4.54
1975-06-01,4.49
1975-07-01,4.7
1975-08-01,4.93
1975-09-01,4.52
1975-10-01,4.33
1975-11-01,4.33
1975-12-01,4.08
1976-01-01,4.06
1976-02-01,4.09
1976-03-01,4.19
1976-04-01,4.36
1976-05-01,4.49
1976-06-01,4.81
1976-07-01,4.76
1976-08-01,4.28
1976-09-01,4.3
1976-10-01,4.22
1976-11-01,4.35
1976-12-01,4.36
1977-01-01,4.42
1977-02-01,4.53
1977-03-01,4.87
1977-04-01,4.79
1977-05-01,4.7
1977-06-01,4.48
1977-07-01,4.53
1977-08-01,4.47
1977-09-01,4.54
1977-10-01,4.76
1977-11-01,4.83
1977-12-01,4.72
1978-01-01,4.92
1978-02-01,4.96
1978-03-01,5.27
1978-04-01,5.17
1978-05-01,5.13
1978-06-01,5.33
1978-07-01,5.36
1978-08-01,5.54
1978-09-01,5.59
1978-10-01,5.94
1978-11-01,5.87
1978-12-01,5.93
1979-01-01,6.2
1979-02-01,7.35
1979-03-01,7.42
1979-04-01,7.44
1979-05-01,8.38
1979-06-01,8.56
1979-07-01,9.05
1979-08-01,9.31
1979-09-01,13.76
1979-10-01,16.63
1979-11-01,16.65
1979-12-01,22.45
1980-01-01,38.88
1980-02-01,35.24
1980-03-01,24.73
1980-04-01,14.95
1980-05-01,12.68
1980-06-01,15.78
1980-07-01,16.32
1980-08-01,15.94
1980-09-01,19.89
1980-10-01,20.2
1980-11-01,18.58
